Time,BIOZ_DATA
73.28125,-381
73.296875,-377
73.3125,-368
73.328125,-366
73.34375,-373
73.359375,-378
73.375,-370
73.390625,-364
73.40625,-367
73.421875,-371
73.4375,-374
73.453125,-376
73.46875,-370
73.484375,-364
73.5,-369
73.515625,-378
73.53125,-380
73.546875,-373
73.5625,-371
73.578125,-366
73.59375,-363
73.609375,-366
73.625,-370
73.640625,-372
73.65625,-368
73.671875,-368
73.6875,-374
73.703125,-378
73.71875,-373
73.734375,-373
73.75,-373
73.765625,-373
73.78125,-369
73.796875,-366
73.8125,-364
73.828125,-361
73.84375,-359
73.859375,-359
73.875,-359
73.890625,-351
73.90625,-343
73.921875,-343
73.9375,-349
73.953125,-353
73.96875,-352
73.984375,-353
74.0,-349
74.015625,-337
74.03125,-329
74.046875,-330
74.0625,-338
74.078125,-338
74.09375,-333
74.109375,-332
74.125,-328
74.140625,-322
74.15625,-324
74.171875,-324
74.1875,-319
74.203125,-323
74.21875,-331
74.234375,-333
74.25,-323
74.265625,-313
74.28125,-309
74.296875,-319
74.3125,-324
74.328125,-318
74.34375,-315
74.359375,-315
74.375,-315
74.390625,-312
74.40625,-311
74.421875,-311
74.4375,-311
74.453125,-313
74.46875,-317
74.484375,-322
74.5,-318
74.515625,-312
74.53125,-311
74.546875,-315
74.5625,-317
74.578125,-318
74.59375,-322
74.609375,-320
74.625,-319
74.640625,-323
74.65625,-326
74.671875,-323
74.6875,-325
74.703125,-325
74.71875,-326
74.734375,-329
74.75,-334
74.765625,-334
74.78125,-331
74.796875,-332
74.8125,-333
74.828125,-334
74.84375,-345
74.859375,-341
74.875,-332
74.890625,-332
74.90625,-339
74.921875,-342
74.9375,-341
74.953125,-339
74.96875,-337
74.984375,-341
75.0,-345
75.015625,-349
75.03125,-356
75.046875,-352
75.0625,-349
75.078125,-354
75.09375,-362
75.109375,-362
75.125,-360
75.140625,-369
75.15625,-367
75.171875,-366
75.1875,-369
75.203125,-366
75.21875,-359
75.234375,-360
75.25,-361
75.265625,-359
75.28125,-361
75.296875,-370
75.3125,-372
75.328125,-375
75.34375,-374
75.359375,-374
75.375,-369
75.390625,-366
75.40625,-369
75.421875,-370
75.4375,-364
75.453125,-364
75.46875,-367
75.484375,-365
75.5,-363
75.515625,-366
75.53125,-366
75.546875,-368
75.5625,-364
75.578125,-361
75.59375,-361
75.609375,-355
75.625,-362
75.640625,-373
75.65625,-372
75.671875,-362
75.6875,-362
75.703125,-366
75.71875,-367
75.734375,-375
75.75,-380
75.765625,-371
75.78125,-367
75.796875,-373
75.8125,-380
75.828125,-384
75.84375,-385
75.859375,-383
75.875,-378
75.890625,-378
75.90625,-387
75.921875,-396
75.9375,-393
75.953125,-386
75.96875,-386
75.984375,-390
76.0,-384
76.015625,-374
76.03125,-375
76.046875,-390
76.0625,-395
76.078125,-386
76.09375,-380
76.109375,-383
76.125,-384
76.140625,-384
76.15625,-389
76.171875,-392
76.1875,-388
76.203125,-380
76.21875,-379
76.234375,-381
76.25,-379
76.265625,-368
76.28125,-366
76.296875,-372
76.3125,-378
76.328125,-371
76.34375,-364
76.359375,-364
76.375,-362
76.390625,-360
76.40625,-354
76.421875,-350
76.4375,-362
76.453125,-368
76.46875,-365
76.484375,-356
76.5,-349
76.515625,-347
76.53125,-352
76.546875,-353
76.5625,-348
76.578125,-346
76.59375,-353
76.609375,-360
76.625,-362
76.640625,-350
76.65625,-345
76.671875,-348
76.6875,-351
76.703125,-347
76.71875,-343
76.734375,-338
76.75,-328
76.765625,-323
76.78125,-327
76.796875,-329
76.8125,-325
76.828125,-319
76.84375,-324
76.859375,-322
76.875,-314
76.890625,-307
76.90625,-306
76.921875,-309
76.9375,-308
76.953125,-307
76.96875,-308
76.984375,-311
77.0,-311
77.015625,-309
77.03125,-308
77.046875,-304
77.0625,-300
77.078125,-299
77.09375,-292
77.109375,-291
77.125,-293
77.140625,-299
77.15625,-297
77.171875,-295
77.1875,-297
77.203125,-301
77.21875,-303
77.234375,-300
77.25,-303
77.265625,-312
77.28125,-316
77.296875,-314
77.3125,-316
77.328125,-314
77.34375,-315
77.359375,-317
77.375,-323
77.390625,-329
77.40625,-335
77.421875,-334
77.4375,-329
77.453125,-333
77.46875,-342
77.484375,-337
77.5,-325
77.515625,-326
77.53125,-332
77.546875,-332
77.5625,-333
77.578125,-336
77.59375,-335
77.609375,-328
77.625,-325
77.640625,-331
77.65625,-337
77.671875,-335
77.6875,-333
77.703125,-331
77.71875,-337
77.734375,-349
77.75,-355
77.765625,-347
77.78125,-343
77.796875,-342
77.8125,-350
77.828125,-352
77.84375,-347
77.859375,-346
77.875,-354
77.890625,-359
77.90625,-359
77.921875,-362
77.9375,-358
77.953125,-357
77.96875,-362
77.984375,-368
78.0,-364
78.015625,-363
78.03125,-368
78.046875,-368
78.0625,-370
78.078125,-372
78.09375,-372
78.109375,-367
78.125,-370
78.140625,-367
78.15625,-366
78.171875,-369
78.1875,-381
78.203125,-379
78.21875,-369
78.234375,-363
78.25,-362
78.265625,-367
78.28125,-365
78.296875,-360
78.3125,-360
78.328125,-358
78.34375,-357
78.359375,-367
78.375,-365
78.390625,-351
78.40625,-350
78.421875,-363
78.4375,-371
78.453125,-368
78.46875,-355
78.484375,-352
78.5,-363
78.515625,-373
78.53125,-374
78.546875,-372
78.5625,-365
78.578125,-361
78.59375,-369
78.609375,-385
78.625,-387
78.640625,-375
78.65625,-365
78.671875,-367
78.6875,-375
78.703125,-381
78.71875,-385
78.734375,-381
78.75,-379
78.765625,-382
78.78125,-382
78.796875,-378
78.8125,-380
78.828125,-386
78.84375,-387
78.859375,-390
78.875,-388
78.890625,-383
78.90625,-383
78.921875,-388
78.9375,-390
78.953125,-384
78.96875,-384
78.984375,-384
79.0,-381
79.015625,-381
79.03125,-379
79.046875,-375
79.0625,-376
79.078125,-381
79.09375,-381
79.109375,-371
79.125,-369
79.140625,-379
79.15625,-385
79.171875,-381
79.1875,-374
79.203125,-369
79.21875,-367
79.234375,-363
79.25,-362
79.265625,-365
79.28125,-361
79.296875,-356
79.3125,-362
79.328125,-364
79.34375,-362
79.359375,-356
79.375,-358
79.390625,-363
79.40625,-368
79.421875,-367
79.4375,-361
79.453125,-359
79.46875,-360
79.484375,-357
79.5,-357
79.515625,-357
79.53125,-354
79.546875,-350
79.5625,-348
79.578125,-349
79.59375,-344
79.609375,-341
79.625,-344
79.640625,-343
79.65625,-332
79.671875,-330
79.6875,-333
79.703125,-328
79.71875,-320
79.734375,-322
79.75,-323
79.765625,-322
79.78125,-321
79.796875,-322
79.8125,-319
79.828125,-315
79.84375,-313
79.859375,-306
79.875,-309
79.890625,-321
79.90625,-323
79.921875,-321
79.9375,-322
79.953125,-315
79.96875,-315
79.984375,-318
80.0,-316
80.015625,-309
80.03125,-305
80.046875,-306
80.0625,-307
80.078125,-314
80.09375,-315
80.109375,-316
80.125,-316
80.140625,-320
80.15625,-320
80.171875,-319
80.1875,-326
80.203125,-323
80.21875,-323
80.234375,-331
80.25,-339
80.265625,-337
80.28125,-331
80.296875,-328
80.3125,-334
80.328125,-339
80.34375,-331
80.359375,-327
80.375,-336
80.390625,-341
80.40625,-337
80.421875,-336
80.4375,-333
80.453125,-333
80.46875,-340
80.484375,-339
80.5,-336
80.515625,-331
80.53125,-332
80.546875,-336
80.5625,-339
80.578125,-340
80.59375,-342
80.609375,-343
80.625,-338
